R, F=Q^2/(2R^4) (Q=1), L=4 pi rho, L_F, kappa=1+2F L_FF/L_F
2.490287637256540496e-05,1.300085618035307264e+18,2.042218015628493433e+01,1.456815847045568609e-33,nan
2.491002315703992869e-05,1.298594261115435776e+18,2.042218015628493433e+01,1.460163898131228713e-33,nan
2.491717199254371733e-05,1.297104614964018688e+18,2.042218015628493433e+01,1.463519643700782991e-33,nan
2.492432287966539440e-05,1.295616677618594816e+18,2.042218015628493433e+01,1.466883101437677590e-33,nan
2.493147581899374606e-05,1.294130447118954752e+18,2.042218015628493433e+01,1.470254289066000933e-33,nan
2.493863081111772449e-05,1.292645921507139072e+18,2.042218015628493433e+01,1.473633224350570957e-33,nan
2.494578785662645125e-05,1.291163098827433216e+18,2.042218015628493433e+01,1.477019925097035178e-33,nan
2.495294695610922751e-05,1.289681977126365184e+18,2.042218015628493433e+01,1.480414409151963236e-33,nan
2.496010811015551026e-05,1.288202554452705280e+18,2.042218015628493433e+01,1.483816694402936530e-33,nan
2.496727131935493269e-05,1.286724828857461760e+18,2.042218015628493433e+01,1.487226798778648280e-33,nan
2.497443658429729740e-05,1.285248798393878272e+18,2.042218015628493433e+01,1.490644740248993854e-33,nan
2.498160390557256961e-05,1.283774461117432320e+18,2.042218015628493433e+01,1.494070536825166553e-33,nan
2.498877328377089411e-05,1.282301815085831168e+18,2.042218015628493433e+01,1.497504206559755970e-33,nan
2.499594471948257495e-05,1.280830858359010560e+18,2.042218015628493433e+01,1.500945767546836429e-33,nan
2.500311821329809234e-05,1.279361588999131904e+18,2.042218015628493433e+01,1.504395237922068250e-33,nan
2.501029376580809251e-05,1.277894005070579712e+18,2.042218015628493433e+01,1.507852635862789432e-33,nan
2.501747137760339791e-05,1.276428104639956992e+18,2.042218015628493433e+01,1.511317979588116411e-33,nan
2.502465104927498678e-05,1.274963885776087808e+18,2.042218015628493433e+01,1.514791287359032320e-33,nan
2.503183278141402377e-05,1.273501346550008576e+18,2.042218015628493433e+01,1.518272577478490996e-33,nan
2.503901657461182596e-05,1.272040485034970880e+18,2.042218015628493433e+01,1.521761868291507639e-33,nan
2.504620242945989678e-05,1.270581299306434304e+18,2.042218015628493433e+01,1.525259178185260416e-33,nan
2.505339034654990231e-05,1.269123787442066688e+18,2.042218015628493433e+01,1.528764525589185062e-33,nan
2.506058032647367123e-05,1.267667947521742848e+18,2.042218015628493433e+01,1.532277928975067075e-33,nan
2.506777236982321181e-05,1.266213777627538176e+18,2.042218015628493433e+01,1.535799406857148799e-33,nan
2.507496647719070174e-05,1.264761275843728384e+18,2.042218015628493433e+01,1.539328977792221111e-33,nan
2.508216264916847792e-05,1.263310440256788992e+18,2.042218015628493433e+01,1.542866660379718699e-33,nan
2.508936088634906362e-05,1.261861268955386624e+18,2.042218015628493433e+01,1.546412473261827144e-33,nan
2.509656118932513796e-05,1.260413760030384128e+18,2.042218015628493433e+01,1.549966435123569132e-33,nan
2.510376355868955962e-05,1.258967911574831872e+18,2.042218015628493433e+01,1.553528564692914103e-33,nan
2.511096799503535331e-05,1.257523721683968768e+18,2.042218015628493433e+01,1.557098880740870793e-33,nan
2.511817449895575719e-05,1.256081188455210496e+18,2.042218015628493433e+01,1.560677402081606969e-33,nan
2.512538307104405009e-05,1.254640309988180224e+18,2.042218015628493433e+01,1.564264147572467227e-33,nan
2.513259371189381235e-05,1.253201084384655616e+18,2.042218015628493433e+01,1.567859136114197070e-33,nan
2.513980642209874631e-05,1.251763509748600832e+18,2.042218015628493433e+01,1.571462386650957963e-33,nan
2.514702120225273049e-05,1.250327584186154752e+18,2.042218015628493433e+01,1.575073918170449811e-33,nan
2.515423805294981282e-05,1.248893305805628160e+18,2.042218015628493433e+01,1.578693749704009487e-33,nan
